epoch, wall_time, smooth_loss, train_loss, val_loss,
254, 4.03221e+03, 8.58398e+00, 8.58855e+00, 8.62288e+00,
255, 4.04811e+03, 8.58580e+00, 8.58639e+00, 8.62322e+00,
256, 4.06401e+03, 8.58677e+00, 8.58920e+00, 8.62217e+00,
257, 4.07992e+03, 8.58554e+00, 8.58907e+00, 8.60777e+00,
258, 4.09584e+03, 8.58800e+00, 8.58874e+00, 8.61362e+00,
259, 4.11174e+03, 8.58655e+00, 8.59000e+00, 8.61130e+00,
260, 4.12765e+03, 8.58656e+00, 8.58707e+00, 8.60742e+00,
261, 4.14355e+03, 8.58674e+00, 8.58684e+00, 8.62221e+00,
262, 4.15945e+03, 8.58810e+00, 8.58932e+00, 8.61186e+00,
263, 4.17537e+03, 8.58865e+00, 8.58759e+00, 8.61513e+00,
264, 4.19126e+03, 8.58839e+00, 8.58728e+00, 8.61971e+00,
265, 4.20717e+03, 8.58874e+00, 8.58664e+00, 8.60984e+00,
266, 4.22307e+03, 8.58803e+00, 8.58365e+00, 8.60774e+00,
267, 4.23899e+03, 8.58691e+00, 8.59060e+00, 8.61188e+00,
268, 4.25491e+03, 8.58731e+00, 8.58754e+00, 8.61277e+00,
269, 4.27080e+03, 8.58687e+00, 8.58574e+00, 8.60956e+00,
270, 4.28669e+03, 8.58728e+00, 8.58408e+00, 8.61565e+00,
271, 4.30247e+03, 8.58826e+00, 8.58552e+00, 8.61649e+00,
272, 4.31837e+03, 8.58731e+00, 8.58322e+00, 8.61339e+00,
273, 4.33428e+03, 8.58834e+00, 8.58570e+00, 8.61032e+00,
274, 4.35017e+03, 8.58878e+00, 8.58696e+00, 8.61148e+00,
275, 4.36608e+03, 8.58718e+00, 8.58507e+00, 8.61493e+00,
276, 4.38199e+03, 8.58699e+00, 8.58653e+00, 8.62121e+00,
277, 4.39790e+03, 8.58716e+00, 8.58428e+00, 8.61460e+00,
278, 4.41381e+03, 8.58812e+00, 8.58634e+00, 8.61561e+00,
279, 4.42969e+03, 8.58669e+00, 8.58805e+00, 8.61779e+00,
280, 4.44561e+03, 8.58703e+00, 8.59011e+00, 8.61816e+00,
281, 4.46152e+03, 8.58711e+00, 8.58506e+00, 8.61261e+00,
282, 4.47743e+03, 8.58776e+00, 8.58511e+00, 8.61789e+00,
283, 4.49332e+03, 8.58725e+00, 8.58579e+00, 8.61764e+00,
284, 4.50923e+03, 8.58819e+00, 8.58683e+00, 8.61147e+00,
285, 4.52514e+03, 8.58757e+00, 8.58642e+00, 8.61266e+00,
286, 4.54102e+03, 8.58633e+00, 8.58435e+00, 8.60539e+00,
287, 4.55692e+03, 8.58730e+00, 8.58462e+00, 8.61106e+00,
288, 4.57283e+03, 8.58732e+00, 8.58393e+00, 8.60732e+00,
289, 4.58871e+03, 8.58795e+00, 8.58327e+00, 8.60540e+00,
290, 4.60461e+03, 8.58784e+00, 8.58795e+00, 8.61185e+00,
291, 4.62051e+03, 8.58556e+00, 8.59029e+00, 8.61022e+00,
292, 4.63643e+03, 8.58597e+00, 8.58428e+00, 8.60911e+00,
293, 4.65232e+03, 8.58722e+00, 8.58862e+00, 8.61133e+00,
294, 4.66821e+03, 8.58510e+00, 8.58518e+00, 8.62317e+00,
295, 4.68411e+03, 8.58673e+00, 8.58945e+00, 8.60546e+00,
296, 4.70002e+03, 8.58689e+00, 8.58701e+00, 8.61438e+00,
297, 4.71591e+03, 8.58667e+00, 8.58884e+00, 8.61208e+00,
298, 4.73181e+03, 8.58655e+00, 8.58906e+00, 8.60469e+00,
299, 4.74769e+03, 8.58739e+00, 8.58811e+00, 8.61704e+00,
