epoch, wall_time, smooth_loss, train_loss, train_std_dev, val_loss, val_std_dev
130, 1.92524e+02, 6.83369e-01, 6.80585e-01, 7.39013e-01, 6.56340e-01, 8.51224e-01
131, 1.94001e+02, 6.82958e-01, 6.87805e-01, 7.37980e-01, 6.58630e-01, 8.44646e-01
132, 1.95637e+02, 6.82604e-01, 6.88445e-01, 7.31986e-01, 6.52792e-01, 8.40320e-01
133, 1.97306e+02, 6.81788e-01, 6.79830e-01, 7.39101e-01, 6.59702e-01, 8.48506e-01
134, 1.98793e+02, 6.81535e-01, 6.89148e-01, 7.31378e-01, 6.53055e-01, 8.49070e-01
135, 2.00461e+02, 6.81063e-01, 6.84516e-01, 7.43472e-01, 6.50173e-01, 8.56441e-01
136, 2.01929e+02, 6.80211e-01, 6.77690e-01, 7.29929e-01, 6.56464e-01, 8.38761e-01
137, 2.03450e+02, 6.79573e-01, 6.80577e-01, 7.32763e-01, 6.46095e-01, 8.59880e-01
138, 2.04912e+02, 6.79095e-01, 6.82783e-01, 7.30877e-01, 6.43834e-01, 8.43587e-01
139, 2.06450e+02, 6.78422e-01, 6.78618e-01, 7.40245e-01, 6.56802e-01, 8.44534e-01
140, 2.07921e+02, 6.77705e-01, 6.77494e-01, 7.32454e-01, 6.55034e-01, 8.33427e-01
141, 2.09418e+02, 6.77291e-01, 6.82204e-01, 7.23882e-01, 6.53712e-01, 8.18152e-01
142, 2.10912e+02, 6.76169e-01, 6.68882e-01, 7.22427e-01, 6.55120e-01, 8.14909e-01
143, 2.12443e+02, 6.75634e-01, 6.78268e-01, 7.34564e-01, 6.54112e-01, 8.28589e-01
144, 2.14060e+02, 6.75056e-01, 6.77012e-01, 7.21157e-01, 6.56979e-01, 8.38451e-01
145, 2.15579e+02, 6.74477e-01, 6.76531e-01, 7.36570e-01, 6.61683e-01, 8.50656e-01
146, 2.16978e+02, 6.73861e-01, 6.75230e-01, 7.23030e-01, 6.52918e-01, 8.37724e-01
147, 2.18476e+02, 6.73650e-01, 6.81866e-01, 7.15904e-01, 6.53136e-01, 8.25941e-01
148, 2.20081e+02, 6.72636e-01, 6.67148e-01, 7.31674e-01, 6.54546e-01, 8.31832e-01
149, 2.21513e+02, 6.72320e-01, 6.78792e-01, 7.19563e-01, 6.66593e-01, 8.24723e-01
150, 2.23094e+02, 6.71171e-01, 6.63585e-01, 7.04702e-01, 6.51483e-01, 8.21064e-01
151, 2.24637e+02, 6.70547e-01, 6.71770e-01, 7.25521e-01, 6.42845e-01, 8.42383e-01
152, 2.26092e+02, 6.70614e-01, 6.83499e-01, 7.18723e-01, 6.55015e-01, 8.10746e-01
153, 2.27684e+02, 6.70264e-01, 6.76086e-01, 7.21118e-01, 6.61295e-01, 8.31238e-01
154, 2.29154e+02, 6.69416e-01, 6.66584e-01, 7.18593e-01, 6.55194e-01, 8.14027e-01
